nb,province,kttruc
1,An Giang,104.75
2,Bà R?a - V?ng Tàu,107.75
3,B?c Giang,107
4,B?c K?n,106.5
5,B?c Liêu,105
6,B?c Ninh,105.5
7,B?n Tre,105.75
8,Bình ??nh,108.25
9,Bình D??ng,105.75
10,Bình Ph??c,106.25
11,Bình Thu?n,108.5
12,Cà Mau,104.5
13,C?n Th?,105
14,Cao B?ng,105.75
15,?à N?ng,107.75
16,??c L?c,108.5
17,??ng Nai,107.75
18,??ng Tháp,105
19,Gia Lai,108.5
20,Hà Giang,105.5
21,Hà Nam,105
22,Hà N?i,105
23,Hà Tây,105
24,Hà T?nh,105.5
25,H?i D??ng,105.5
26,H?i Phòng,105.75
27,Hoà Bình,106
28,H?ng Yên,105.5
29,Khánh Hoà,108.25
30,Kiên Giang,104.5
31,Kon Tum,107.5
32,Lai Châu,103
33,Lâm ??ng,107.75
34,L?ng S?n,107.25
35,Lào Cai,104.75
36,Long An,105.75
37,Nam ??nh,105.5
38,Ngh? An,104.75
39,Ninh Bình,105
40,Ninh Thu?n,108.25
41,Phú Th?,104.75
42,Phú Yên,108.5
43,Qu?ng Bình,106
44,Qu?ng Nam,107.75
45,Qu?ng Ngãi,108
46,Qu?ng Ninh,107.75
47,Qu?ng Tr?,106.25
48,Sóc Tr?ng,105.5
49,S?n La,104
50,Tây Ninh,105.5
51,Thái Bình,105.5
52,Thái Nguyên,106.5
53,Thanh Hoá,105
54,Thành ph? H? Chí Minh,105.75
55,Th?a Thiên - Hu?,107
56,Ti?n Giang,105.75
57,Trà Vinh,105.5
58,Tuyên Quang,106
59,V?nh Long,105.5
60,V?nh Phúc,105
61,Yên Bái,104.75
